節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均走行距離_home,stats_1試合平均スプリント回数_home,stats_1試合平均Atスプリント回数_home,stats_1試合平均Mtスプリント回数_home,stats_1試合平均Dtスプリント回数_home,stats_1試合平均ポゼッション時の走行距離_home,stats_1試合平均ポゼッション時のスプリント回数_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均走行距離_away,stats_1試合平均スプリント回数_away,stats_1試合平均Atスプリント回数_away,stats_1試合平均Mtスプリント回数_away,stats_1試合平均Dtスプリント回数_away,stats_1試合平均ポゼッション時の走行距離_away,stats_1試合平均ポゼッション時のスプリント回数_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_season_away,rankmot_fetched_date_away,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,absence_missing_home,absence_missing_away,absence_effective_total_home,absence_effective_attack_home,absence_effective_defense_home,absence_effective_total_away,absence_effective_attack_away,absence_effective_defense_away,absence_cap_applied_home,absence_cap_applied_away,league,stats_asof,stats_source_csv,home_elo_at_prediction,away_elo_at_prediction,home_advantage_diff,home_advantage_profile_diff,hfa_applied_elo,hfa_added_to_diff,hfa_clip_min,hfa_clip_max,elo_diff_scale_factor,elo_diff_before_hfa,elo_diff_after_hfa,diff_raw_no_hfa,elo_diff_scaled,elo_diff_for_prob,elo_diff_used_for_prob,expected_home_two_way,is_home_advantage_positive,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,draw_tweak_mode,base_prob_home,base_prob_draw,base_prob_away,prob_home_win_before_signfix,prob_away_win_before_signfix,elo_sign_fix_applied,elo_sign_fix_reason,prob_home_raw,prob_away_raw,final_prob_home,final_prob_draw,final_prob_away,prob_delta_home,prob_delta_draw,prob_delta_away,residue_detected,prob_home_win,prob_draw,prob_away_win,prob_home,prob_away,final_result,predicted_result,decision_reason,force_draw_applied,argmax_result,argmax_max_prob,argmax_raw_result,argmax_raw_max_prob,d_scaled,decision_draw_expectation_multiplier,decision_draw_assign_enabled,predicted_highest_prob_result,actual_result,is_correct,stats_home_missing,stats_away_missing,management_missing,data_quality_warn
第２節第１日,j1_2025_02221403_京都_浦和,2025-02-22 14:03:00,サンガＳ,京都,浦和,1,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,11.6,4.4,14.0,1.6,365.9,68.7,7.5,46.5,12.5,42.6,14.0,19.3,46.9,48.7,10.2,14.1,33.5,49.6,117.0,145.0,50.0,44.0,51.0,28.0,58.0,12.7,3.8,1.1,24.9,16.9,62.6,18.7,1.6,52.5,1.3,49.2,10.0,12.2,3.9,9.7,1.2,479.7,79.7,11.8,52.6,14.1,52.0,13.4,13.8,48.9,51.6,11.1,15.5,32.7,46.7,116.0,138.0,52.0,45.0,41.0,34.0,68.0,13.0,3.5,1.0,23.8,14.7,63.2,19.6,1.8,54.3,1.4,51.0,14.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3,68,2025,20260214,7,59,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1490,1500,0.8421,0.8421,21.0,21.0,,,1.0,-10.0,11.0,-10.0,6.2857,6.2857,6.2857,0.5052,True,0.34411162910920656,0.3412955775073147,0.31459279338347884,off,0.33878269932271016,0.33601025723584826,0.32520704344144147,0.34411162910920656,0.31459279338347884,False,,0.34411162910920656,0.31459279338347884,0.33878269932271016,0.33601025723584826,0.32520704344144147,0.0,0.0,0.0,False,0.33878269932271016,0.33601025723584826,0.32520704344144147,0.33878269932271016,0.32520704344144147,H,H,ARGMAX,False,H,0.33878269932271016,H,0.34411162910920656,6.285714285714286,1.0,False,H,D,False,False,False,False,True
第２節第１日,j1_2025_02221403_名古屋_神戸,2025-02-22 14:03:00,豊田ス,名古屋,神戸,2,2,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,11.7,3.5,9.9,1.1,403.0,73.9,7.1,46.5,10.0,42.7,13.2,18.6,54.4,47.2,9.3,13.4,31.1,47.9,114.0,120.0,45.0,40.0,35.0,29.0,56.0,11.7,4.0,1.5,24.9,16.1,62.6,17.8,1.4,43.8,1.1,43.8,8.0,13.1,4.2,9.2,1.2,426.8,71.1,10.4,48.5,12.0,53.5,19.3,24.6,50.1,51.5,11.2,16.9,38.9,50.7,114.0,117.0,47.0,34.0,37.0,30.0,54.0,9.9,3.0,0.9,22.1,18.6,63.8,18.8,2.4,35.3,0.9,33.6,14.0,,0.0,0.0,0.0,,0.0,0.0,0.0,16,43,2025,20260214,5,64,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1490,1500,0.0,0.0,21.0,21.0,,,1.0,-10.0,11.0,-10.0,6.2857,6.2857,6.2857,0.5052,False,0.34411162910920656,0.3412955775073147,0.31459279338347884,off,0.33878269932271016,0.33601025723584826,0.32520704344144147,0.34411162910920656,0.31459279338347884,False,,0.34411162910920656,0.31459279338347884,0.33878269932271016,0.33601025723584826,0.32520704344144147,0.0,0.0,0.0,False,0.33878269932271016,0.33601025723584826,0.32520704344144147,0.33878269932271016,0.32520704344144147,H,H,ARGMAX,False,H,0.33878269932271016,H,0.34411162910920656,6.285714285714286,1.0,False,H,D,False,False,False,False,True
第２節第１日,j1_2025_02221403_柏_川崎Ｆ,2025-02-22 14:03:00,三協Ｆ柏,柏,川崎Ｆ,1,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.6,4.2,12.6,1.6,609.2,82.7,12.6,46.0,19.0,49.7,14.1,14.0,51.1,59.3,13.7,17.1,31.0,51.3,119.0,137.0,60.0,45.0,32.0,40.0,71.0,11.1,3.0,0.9,23.7,16.6,68.1,19.3,2.0,43.2,1.1,40.0,19.0,13.0,4.6,13.6,1.8,472.3,79.8,11.2,49.8,12.7,52.0,12.6,12.4,47.5,50.3,12.4,15.8,32.7,55.2,111.0,113.0,46.0,35.0,32.0,29.0,56.0,11.7,3.6,1.5,20.9,15.8,65.0,19.6,2.0,46.3,1.2,43.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2,75,2025,20260214,8,57,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1510,1510,0.7368,0.7368,21.0,21.0,,,1.0,0.0,21.0,0.0,12.0,12.0,12.0,0.5099,True,0.3541957895860328,0.34089144465496046,0.3049127657590067,off,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3541957895860328,0.3049127657590067,False,,0.3541957895860328,0.3049127657590067,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.0,0.0,0.0,False,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3488769379825433,0.3153506816211032,H,H,ARGMAX,False,H,0.3488769379825433,H,0.3541957895860328,12.0,1.0,False,H,D,False,False,False,False,True
第２節第１日,j1_2025_02221403_横浜FC_岡山,2025-02-22 14:03:00,ニッパツ,横浜FC,岡山,1,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,9.5,2.5,7.5,0.7,343.4,68.0,9.8,44.2,8.0,44.1,13.3,18.8,52.6,43.2,7.4,15.8,34.0,36.7,110.0,116.0,39.0,41.0,35.0,25.0,53.0,12.1,3.1,1.2,22.3,18.0,63.8,20.7,2.2,47.4,1.2,41.6,12.0,11.2,3.3,8.0,0.9,338.8,67.2,9.8,48.9,10.9,39.0,15.6,20.0,49.0,43.4,9.2,16.2,33.7,41.3,116.0,128.0,45.0,41.0,43.0,27.0,51.0,12.8,3.9,1.1,26.4,18.7,61.3,22.1,1.7,50.9,1.3,49.3,11.0,,0.0,,,,0.0,0.0,0.0,18,35,2025,20260214,13,45,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1490,1510,0.1053,0.1053,21.0,21.0,,,1.0,-20.0,1.0,-20.0,0.5714,0.5714,0.5714,0.5005,True,0.3341158078475977,0.34149703572702145,0.32438715642538085,off,0.32878315619171805,0.33604657606520755,0.3351702677430744,0.3341158078475977,0.32438715642538085,False,,0.3341158078475977,0.32438715642538085,0.32878315619171805,0.33604657606520755,0.3351702677430744,0.0,0.0,0.0,False,0.32878315619171805,0.33604657606520755,0.3351702677430744,0.32878315619171805,0.3351702677430744,D,D,ARGMAX,False,D,0.33604657606520755,D,0.34149703572702145,0.5714285714285714,1.0,False,D,H,False,False,False,True,True
第２節第１日,j1_2025_02221403_清水_新潟,2025-02-22 14:03:00,アイスタ,清水,新潟,2,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.5,3.2,8.7,1.1,476.3,79.2,12.7,43.9,16.1,47.9,14.3,13.9,47.6,50.5,11.4,15.3,33.1,51.2,113.0,118.0,46.0,37.0,35.0,30.0,60.0,13.7,4.7,1.3,23.2,14.7,66.4,18.3,2.2,54.9,1.4,51.6,12.0,11.4,3.1,8.3,0.9,530.2,81.5,10.7,53.4,11.4,50.2,12.3,12.4,43.5,53.7,10.1,16.1,31.1,41.7,117.0,108.0,42.0,33.0,33.0,35.0,51.0,12.8,4.0,1.8,22.2,16.6,62.8,19.1,1.2,54.8,1.4,51.5,5.0,,0.0,0.0,0.0,,0.0,,,14,44,2025,20260214,20,24,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1510,1500,0.8421,0.8421,21.0,21.0,,,1.0,10.0,31.0,10.0,17.7143,17.7143,17.7143,0.5146,True,0.3643590913332387,0.3402857121359651,0.29535519653079617,off,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.3643590913332387,0.29535519653079617,False,,0.3643590913332387,0.29535519653079617,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.0,0.0,0.0,False,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.3590566292680807,0.30560978445979314,H,H,ARGMAX,False,H,0.3590566292680807,H,0.3643590913332387,17.71428571428571,1.0,False,H,H,True,False,False,True,True
第２節第１日,j1_2025_02221503_FC東京_町田,2025-02-22 15:03:00,味スタ,FC東京,町田,0,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.1,3.7,8.9,1.1,458.3,77.7,11.5,46.6,12.1,46.3,12.3,14.9,49.4,50.9,10.2,16.8,31.4,50.2,115.0,135.0,54.0,45.0,36.0,33.0,68.0,12.8,4.0,1.3,23.4,18.1,63.4,17.1,2.3,47.6,1.2,43.5,11.0,11.9,3.5,11.5,1.4,373.6,71.3,11.4,50.5,9.5,44.3,15.7,23.4,58.8,46.3,9.4,16.2,34.1,50.0,116.0,118.0,45.0,38.0,35.0,29.0,53.0,10.6,3.1,1.0,21.1,16.4,63.7,20.7,1.6,40.7,1.0,35.7,14.0,,0.0,0.0,0.0,,0.0,0.0,0.0,11,50,2025,20260214,6,60,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1510,1490,-0.1053,-0.1053,21.0,21.0,,,1.0,20.0,41.0,20.0,23.4286,23.4286,23.4286,0.5193,False,0.3745921530941814,0.33947998643124405,0.28592786047457447,off,0.36931231903278405,0.33469505439057806,0.29599262657663783,0.3745921530941814,0.28592786047457447,False,,0.3745921530941814,0.28592786047457447,0.36931231903278405,0.33469505439057806,0.29599262657663783,0.0,0.0,0.0,False,0.36931231903278405,0.33469505439057806,0.29599262657663783,0.36931231903278405,0.29599262657663783,H,H,ARGMAX,False,H,0.36931231903278405,H,0.3745921530941814,23.428571428571427,1.0,False,H,A,False,False,False,False,True
第２節第１日,j1_2025_02221503_鹿島_東京Ｖ,2025-02-22 15:03:00,カシマ,鹿島,東京Ｖ,4,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,11.8,4.2,12.9,1.5,449.7,76.9,9.1,47.5,12.2,46.8,13.1,17.7,54.3,50.2,10.2,14.8,33.2,47.6,112.0,122.0,48.0,39.0,35.0,30.0,56.0,11.7,3.6,0.8,23.1,17.4,60.2,18.4,1.5,47.3,1.2,44.8,16.0,9.8,2.8,6.2,0.6,430.4,76.4,9.1,46.1,9.8,48.0,12.3,17.3,47.3,48.2,8.2,15.8,28.9,33.8,118.0,124.0,44.0,44.0,36.0,31.0,51.0,10.7,3.9,1.1,25.1,19.0,61.3,19.7,1.7,42.5,1.1,40.0,17.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1,76,2025,20260214,17,43,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1490,1490,1.4211,1.4211,21.0,21.0,,,1.0,0.0,21.0,0.0,12.0,12.0,12.0,0.5099,True,0.3541957895860328,0.34089144465496046,0.3049127657590067,off,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3541957895860328,0.3049127657590067,False,,0.3541957895860328,0.3049127657590067,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.0,0.0,0.0,False,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3488769379825433,0.3153506816211032,H,H,ARGMAX,False,H,0.3488769379825433,H,0.3541957895860328,12.0,1.0,False,H,H,True,False,False,False,True
第２節第１日,j1_2025_02221503_Ｃ大阪_湘南,2025-02-22 15:03:00,ヨドコウ,Ｃ大阪,湘南,1,2,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,14.3,5.0,11.1,1.6,529.2,81.8,11.7,46.5,15.0,49.6,13.7,10.9,49.5,52.8,13.3,16.4,33.7,56.0,119.0,125.0,52.0,38.0,36.0,35.0,65.0,14.1,4.0,1.5,22.2,17.6,62.1,19.5,1.8,53.2,1.4,51.6,5.0,10.9,3.5,8.7,0.9,447.8,76.9,10.0,53.0,13.6,47.4,14.1,12.7,46.4,50.4,10.1,17.4,32.5,39.2,117.0,131.0,49.0,46.0,36.0,33.0,64.0,13.2,4.5,1.6,22.9,19.3,62.6,21.4,1.7,57.3,1.5,49.1,6.0,,0.0,0.0,0.0,,0.0,,,10,52,2025,20260214,19,32,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1510,1510,1.0,1.0,21.0,21.0,,,1.0,0.0,21.0,0.0,12.0,12.0,12.0,0.5099,True,0.3541957895860328,0.34089144465496046,0.3049127657590067,off,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3541957895860328,0.3049127657590067,False,,0.3541957895860328,0.3049127657590067,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.0,0.0,0.0,False,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3488769379825433,0.3153506816211032,H,H,ARGMAX,False,H,0.3488769379825433,H,0.3541957895860328,12.0,1.0,False,H,A,False,False,False,True,True
第２節第１日,j1_2025_02221503_Ｇ大阪_福岡,2025-02-22 15:03:00,パナスタ,Ｇ大阪,福岡,2,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,13.2,4.1,10.6,1.4,497.1,79.7,10.5,48.6,13.5,47.4,13.1,13.7,46.6,52.4,11.8,18.1,34.4,50.6,111.0,110.0,41.0,35.0,34.0,30.0,54.0,11.9,4.4,1.4,22.7,19.1,68.1,17.9,1.3,47.4,1.2,44.2,11.0,12.9,3.9,6.9,0.9,396.8,76.0,9.4,48.3,9.7,50.4,13.1,19.9,55.2,47.3,10.9,13.9,31.4,47.3,115.0,108.0,39.0,37.0,32.0,30.0,49.0,10.9,3.7,1.0,21.7,15.1,62.2,17.0,1.1,40.7,1.0,35.8,16.0,,0.0,0.0,0.0,,0.0,0.0,0.0,9,57,2025,20260214,12,48,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1490,1490,0.8947,0.8947,21.0,21.0,,,1.0,0.0,21.0,0.0,12.0,12.0,12.0,0.5099,True,0.3541957895860328,0.34089144465496046,0.3049127657590067,off,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3541957895860328,0.3049127657590067,False,,0.3541957895860328,0.3049127657590067,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.0,0.0,0.0,False,0.3488769379825433,0.33577238039635365,0.3153506816211032,0.3488769379825433,0.3153506816211032,H,H,ARGMAX,False,H,0.3488769379825433,H,0.3541957895860328,12.0,1.0,False,H,H,True,False,False,False,True
第２節第２日,j1_2025_02231403_広島_横浜FM,2025-02-23 14:03:00,Ｅピース,広島,横浜FM,1,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,14.3,4.1,8.5,1.2,458.5,75.0,10.3,46.5,15.3,48.6,19.0,20.8,52.4,50.2,12.7,16.9,36.7,59.8,111.0,121.0,50.0,40.0,31.0,29.0,61.0,10.1,2.8,0.7,18.3,18.0,67.3,19.4,1.9,39.3,1.0,36.0,15.0,10.7,3.4,11.3,1.2,427.9,77.4,10.2,53.1,10.9,40.7,12.4,12.4,42.9,49.2,9.5,15.5,31.4,41.8,115.0,116.0,40.0,35.0,40.0,31.0,52.0,13.0,4.4,1.2,24.4,15.9,63.2,17.6,1.4,49.2,1.2,45.9,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,4,68,2025,20260214,15,43,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1510,1500,0.8947,0.8947,21.0,21.0,,,1.0,10.0,31.0,10.0,17.7143,17.7143,17.7143,0.5146,True,0.3643590913332387,0.3402857121359651,0.29535519653079617,off,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.3643590913332387,0.29535519653079617,False,,0.3643590913332387,0.29535519653079617,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.0,0.0,0.0,False,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.3590566292680807,0.30560978445979314,H,H,ARGMAX,False,H,0.3590566292680807,H,0.3643590913332387,17.71428571428571,1.0,False,H,H,True,False,False,False,True
第３節第１日,j1_2025_02261901_岡山_Ｇ大阪,2025-02-26 19:01:00,ＪＦＥス,岡山,Ｇ大阪,2,0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,11.2,3.3,8.0,0.9,338.8,67.2,9.8,48.9,10.9,39.0,15.6,20.0,49.0,43.4,9.2,16.2,33.7,41.3,116.0,128.0,45.0,41.0,43.0,27.0,51.0,12.8,3.9,1.1,26.4,18.7,61.3,22.1,1.7,50.9,1.3,49.3,11.0,13.2,4.1,10.6,1.4,497.1,79.7,10.5,48.6,13.5,47.4,13.1,13.7,46.6,52.4,11.8,18.1,34.4,50.6,111.0,110.0,41.0,35.0,34.0,30.0,54.0,11.9,4.4,1.4,22.7,19.1,68.1,17.9,1.3,47.4,1.2,44.2,11.0,,0.0,0.0,0.0,,0.0,0.0,0.0,13,45,2025,20260214,9,57,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1499,1500,0.2632,0.2632,21.0,21.0,,,1.0,-0.575,20.425,-0.575,11.6714,11.6714,11.6714,0.5096,True,0.3536137056877043,0.3409201583204578,0.305466135991838,off,0.3482941029961553,0.3357915115439483,0.3159143854598963,0.3536137056877043,0.305466135991838,False,,0.3536137056877043,0.305466135991838,0.3482941029961553,0.3357915115439483,0.3159143854598963,0.0,0.0,0.0,False,0.3482941029961553,0.3357915115439483,0.3159143854598963,0.3482941029961553,0.3159143854598963,H,H,ARGMAX,False,H,0.3482941029961553,H,0.3536137056877043,11.671422126945538,1.0,False,H,H,True,False,False,False,True
第３節第１日,j1_2025_02261903_FC東京_名古屋,2025-02-26 19:03:00,味スタ,FC東京,名古屋,3,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.1,3.7,8.9,1.1,458.3,77.7,11.5,46.6,12.1,46.3,12.3,14.9,49.4,50.9,10.2,16.8,31.4,50.2,115.0,135.0,54.0,45.0,36.0,33.0,68.0,12.8,4.0,1.3,23.4,18.1,63.4,17.1,2.3,47.6,1.2,43.5,11.0,11.7,3.5,9.9,1.1,403.0,73.9,7.1,46.5,10.0,42.7,13.2,18.6,54.4,47.2,9.3,13.4,31.1,47.9,114.0,120.0,45.0,40.0,35.0,29.0,56.0,11.7,4.0,1.5,24.9,16.1,62.6,17.8,1.4,43.8,1.1,43.8,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,11,50,2025,20260214,16,43,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1499,1490,0.7368,0.7368,21.0,21.0,,,1.0,9.1372,30.1372,9.1372,17.2213,17.2213,17.2213,0.5142,True,0.3634793627743316,0.34034588146690614,0.2961747557587623,off,0.35817523956941616,0.33537933680861476,0.306445423621969,0.3634793627743316,0.2961747557587623,False,,0.3634793627743316,0.2961747557587623,0.35817523956941616,0.33537933680861476,0.306445423621969,0.0,0.0,0.0,False,0.35817523956941616,0.33537933680861476,0.306445423621969,0.35817523956941616,0.306445423621969,H,H,ARGMAX,False,H,0.35817523956941616,H,0.3634793627743316,17.221282879334076,1.0,False,H,H,True,False,False,False,True
第３節第１日,j1_2025_02261903_柏_Ｃ大阪,2025-02-26 19:03:00,三協Ｆ柏,柏,Ｃ大阪,2,1,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,15.0,3.0,,,,True,12.6,4.2,12.6,1.6,609.2,82.7,12.6,46.0,19.0,49.7,14.1,14.0,51.1,59.3,13.7,17.1,31.0,51.3,119.0,137.0,60.0,45.0,32.0,40.0,71.0,11.1,3.0,0.9,23.7,16.6,68.1,19.3,2.0,43.2,1.1,40.0,19.0,14.3,5.0,11.1,1.6,529.2,81.8,11.7,46.5,15.0,49.6,13.7,10.9,49.5,52.8,13.3,16.4,33.7,56.0,119.0,125.0,52.0,38.0,36.0,35.0,65.0,14.1,4.0,1.5,22.2,17.6,62.1,19.5,1.8,53.2,1.4,51.6,5.0,,0.0,0.0,0.0,,0.0,0.0,0.0,2,75,2025,20260214,10,52,2025,20260214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-29,team_master_stats_j1_2025.csv,1510,1500,1.0,1.0,21.0,21.0,,,1.0,10.0,31.0,10.0,17.7143,17.7143,17.7143,0.5146,True,0.3643590913332387,0.3402857121359651,0.29535519653079617,off,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.3643590913332387,0.29535519653079617,False,,0.3643590913332387,0.29535519653079617,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.0,0.0,0.0,False,0.3590566292680807,0.33533358627212606,0.30560978445979314,0.3590566292680807,0.30560978445979314,H,H,ARGMAX,False,H,0.3590566292680807,H,0.3643590913332387,17.71428571428571,1.0,False,H,H,True,False,False,False,True
